2016-06-14 09:58:41 - HTTPError 404 -  - allineamenti/index
2016-06-14 11:06:34 - HTTPError 404 -  - allineamenti/index
2016-06-14 11:06:35 - HTTPError 404 -  - allineamenti/index
2016-06-14 11:06:36 - HTTPError 404 -  - allineamenti/index
2016-06-14 11:07:33 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:34 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:34 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:35 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:35 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:35 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:36 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:36 - HTTPError 404 -  - panoramica/index
2016-06-14 11:07:36 - HTTPError 404 -  - panoramica/index
2016-06-14 11:09:46 - HTTPError 404 -  - dist/images
2016-06-14 11:09:47 - HTTPError 404 -  - dist/images
2016-06-14 11:10:37 - HTTPError 404 -  - dist/images
2016-06-14 11:10:46 - HTTPError 404 -  - dist/images
2016-06-14 11:10:55 - HTTPError 404 -  - dist/images
2016-06-14 11:11:22 - HTTPError 404 -  - dist/images
2016-06-14 11:57:12 - HTTPError 404 - leoni - dist/images
2016-06-14 11:57:19 - HTTPError 404 - leoni - dist/images
2016-06-14 11:57:19 - HTTPError 404 - leoni - dist/images
2016-06-14 11:57:55 - HTTPError 404 - leoni - dist/images
2016-06-14 11:57:55 - HTTPError 404 - leoni - dist/images
2016-06-14 11:57:56 - HTTPError 404 - leoni - dist/images
2016-06-14 11:57:56 - HTTPError 404 - leoni - dist/images
2016-06-14 11:58:10 - HTTPError 404 - leoni - dist/images
2016-06-14 11:58:10 - HTTPError 404 - leoni - dist/images
2016-06-14 11:58:51 - HTTPError 404 - leoni - dist/images
2016-06-14 11:58:51 - HTTPError 404 - leoni - dist/images
2016-06-14 11:59:06 - HTTPError 404 - leoni - dist/images
2016-06-14 11:59:06 - HTTPError 404 - leoni - dist/images
2016-06-14 12:04:09 - HTTPError 404 - leoni - dist/images
2016-06-14 12:04:09 - HTTPError 404 - leoni - dist/images
2016-06-14 12:05:34 - HTTPError 404 - leoni - dist/images
2016-06-14 12:05:34 - HTTPError 404 - leoni - dist/images
2016-06-14 12:06:28 - HTTPError 404 - leoni - dist/images
2016-06-14 12:06:28 - HTTPError 404 - leoni - dist/images
2016-06-14 12:06:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:06:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:18:24 - HTTPError 404 - leoni - dist/images
2016-06-14 12:18:24 - HTTPError 404 - leoni - dist/images
2016-06-14 12:22:05 - HTTPError 404 - leoni - dist/images
2016-06-14 12:22:05 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:05 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:05 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:17 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:17 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:18 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:18 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:18 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:18 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:29 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:51 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:51 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:51 - HTTPError 404 - leoni - dist/images
2016-06-14 12:25:51 - HTTPError 404 - leoni - dist/images
2016-06-14 12:26:14 - HTTPError 404 - leoni - dist/images
2016-06-14 12:26:14 - HTTPError 404 - leoni - dist/images
2016-06-14 12:27:25 - HTTPError 404 - leoni - dist/images
2016-06-14 12:27:25 - HTTPError 404 - leoni - dist/images
2016-06-14 12:28:40 - HTTPError 404 - leoni - dist/images
2016-06-14 12:28:40 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:19 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:19 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:42 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:42 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:42 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:42 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:43 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:43 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:43 - HTTPError 404 - leoni - dist/images
2016-06-14 12:31:43 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:01 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:01 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:21 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:21 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:21 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:21 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:50 - HTTPError 404 - leoni - dist/images
2016-06-14 12:32:50 - HTTPError 404 - leoni - dist/images
2016-06-14 12:33:16 - HTTPError 404 - leoni - dist/images
2016-06-14 12:33:16 - HTTPError 404 - leoni - dist/images
2016-06-14 12:33:47 - HTTPError 404 -  - dist/images
2016-06-14 12:33:47 - HTTPError 404 -  - dist/images
2016-06-14 12:33:47 - HTTPError 404 -  - dist/images
2016-06-14 12:34:00 - HTTPError 404 - mbarbieri - dist/images
2016-06-14 12:34:00 - HTTPError 404 - mbarbieri - dist/images
2016-06-14 12:34:31 - HTTPError 404 -  - dist/images
2016-06-14 13:54:17 - HTTPError 404 -  - dist/images
2016-06-14 13:54:17 - HTTPError 404 -  - dist/images
2016-06-14 13:55:13 - HTTPError 404 -  - dist/images
2016-06-14 13:55:20 - HTTPError 404 -  - dist/images
2016-06-14 13:55:30 - HTTPError 404 - leoni - dist/images
2016-06-14 13:55:30 - HTTPError 404 - leoni - dist/images
2016-06-14 13:55:32 - HTTPError 404 - leoni - dist/images
2016-06-14 13:55:32 - HTTPError 404 - leoni - dist/images
2016-06-14 13:55:34 - HTTPError 404 - leoni - dist/images
2016-06-14 13:55:34 - HTTPError 404 - leoni - dist/images
2016-06-14 13:55:34 - HTTPError 404 - leoni - dist/images
2016-06-14 13:56:06 - HTTPError 404 - leoni - dist/images
2016-06-14 13:56:06 - HTTPError 404 - leoni - dist/images
2016-06-14 13:57:33 - HTTPError 404 - leoni - dist/images
2016-06-14 13:57:33 - HTTPError 404 - leoni - dist/images
2016-06-14 13:58:01 - HTTPError 404 - leoni - dist/images
2016-06-14 13:58:01 - HTTPError 404 - leoni - dist/images
2016-06-14 13:58:28 - HTTPError 404 - leoni - dist/images
2016-06-14 13:58:28 - HTTPError 404 - leoni - dist/images
2016-06-14 14:04:37 - HTTPError 404 - leoni - dist/images
2016-06-14 14:04:37 - HTTPError 404 - leoni - dist/images
2016-06-14 14:05:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:05:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:09:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:09:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:10:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:10:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:10:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:10:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:11:34 - HTTPError 404 - leoni - dist/images
2016-06-14 14:11:34 - HTTPError 404 - leoni - dist/images
2016-06-14 14:11:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:11:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:11:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:11:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:12:13 - HTTPError 404 - leoni - dist/images
2016-06-14 14:12:13 - HTTPError 404 - leoni - dist/images
2016-06-14 14:12:14 - HTTPError 404 - leoni - dist/images
2016-06-14 14:12:14 - HTTPError 404 - leoni - dist/images
2016-06-14 14:13:22 - HTTPError 404 - leoni - dist/images
2016-06-14 14:13:22 - HTTPError 404 - leoni - dist/images
2016-06-14 14:13:22 - HTTPError 404 - leoni - dist/images
2016-06-14 14:13:22 - HTTPError 404 - leoni - dist/images
2016-06-14 14:14:39 - HTTPError 404 - leoni - dist/images
2016-06-14 14:14:39 - HTTPError 404 - leoni - dist/images
2016-06-14 14:14:55 - HTTPError 404 - leoni - dist/images
2016-06-14 14:14:55 - HTTPError 404 - leoni - dist/images
2016-06-14 14:15:08 - HTTPError 404 - leoni - dist/images
2016-06-14 14:15:08 - HTTPError 404 - leoni - dist/images
2016-06-14 14:15:39 - HTTPError 404 - leoni - dist/images
2016-06-14 14:15:39 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:07 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:07 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:08 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:08 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:17 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:17 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:49 - HTTPError 404 - leoni - dist/images
2016-06-14 14:16:49 - HTTPError 404 - leoni - dist/images
2016-06-14 14:17:12 - HTTPError 404 - leoni - dist/images
2016-06-14 14:17:12 - HTTPError 404 - leoni - dist/images
2016-06-14 14:18:51 - HTTPError 404 - leoni - dist/images
2016-06-14 14:18:51 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:08 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:08 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:37 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:37 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:46 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:46 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:47 - HTTPError 404 - leoni - dist/images
2016-06-14 14:19:47 - HTTPError 404 - leoni - dist/images
2016-06-14 14:20:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:20:04 - HTTPError 404 - leoni - dist/images
2016-06-14 14:20:40 - HTTPError 404 - leoni - dist/images
2016-06-14 14:20:40 - HTTPError 404 - leoni - dist/images
2016-06-14 14:29:40 - HTTPError 404 - leoni - dist/images
2016-06-14 14:29:40 - HTTPError 404 - leoni - dist/images
2016-06-14 14:30:20 - HTTPError 404 - leoni - dist/images
2016-06-14 14:30:20 - HTTPError 404 - leoni - dist/images
2016-06-14 14:30:42 - HTTPError 404 - leoni - dist/images
2016-06-14 14:30:42 - HTTPError 404 - leoni - dist/images
2016-06-14 14:31:35 - HTTPError 404 - leoni - dist/images
2016-06-14 14:31:35 - HTTPError 404 - leoni - dist/images
2016-06-14 14:31:51 - HTTPError 404 - leoni - dist/images
2016-06-14 14:31:51 - HTTPError 404 - leoni - dist/images
2016-06-14 14:35:14 - HTTPError 404 - leoni - dist/images
2016-06-14 14:35:14 - HTTPError 404 - leoni - dist/images
2016-06-14 14:35:36 - HTTPError 404 - leoni - dist/images
2016-06-14 14:35:36 - HTTPError 404 - leoni - dist/images
2016-06-14 14:37:21 - HTTPError 404 - leoni - dist/images
2016-06-14 14:37:21 - HTTPError 404 - leoni - dist/images
2016-06-14 14:43:14 - HTTPError 404 - leoni - dist/images
2016-06-14 14:43:14 - HTTPError 404 - leoni - dist/images
2016-06-14 14:45:21 - HTTPError 404 - leoni - dist/images
2016-06-14 14:45:21 - HTTPError 404 - leoni - dist/images
2016-06-14 14:45:53 - HTTPError 404 - leoni - dist/images
2016-06-14 14:45:53 - HTTPError 404 - leoni - dist/images
2016-06-14 14:45:55 - HTTPError 404 - leoni - dist/images
2016-06-14 14:45:55 - HTTPError 404 - leoni - dist/images
2016-06-14 14:46:22 - HTTPError 404 - leoni - dist/images
2016-06-14 14:46:22 - HTTPError 404 - leoni - dist/images
2016-06-14 14:47:07 - HTTPError 404 - leoni - dist/images
2016-06-14 14:47:07 - HTTPError 404 - leoni - dist/images
2016-06-14 14:47:30 - HTTPError 404 - leoni - dist/images
2016-06-14 14:47:30 - HTTPError 404 - leoni - dist/images
2016-06-14 14:48:29 - HTTPError 404 - leoni - dist/images
2016-06-14 14:48:29 - HTTPError 404 - leoni - dist/images
2016-06-14 14:48:42 - HTTPError 404 - leoni - dist/images
2016-06-14 14:48:42 - HTTPError 404 - leoni - dist/images
2016-06-14 14:49:24 - HTTPError 404 - leoni - dist/images
2016-06-14 14:49:24 - HTTPError 404 - leoni - dist/images
2016-06-14 14:53:00 - HTTPError 404 - leoni - dist/images
2016-06-14 14:53:00 - HTTPError 404 - leoni - dist/images
2016-06-14 14:53:40 - HTTPError 404 - leoni - dist/images
2016-06-14 14:53:40 - HTTPError 404 - leoni - dist/images
2016-06-14 14:53:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:53:50 - HTTPError 404 - leoni - dist/images
2016-06-14 14:54:44 - HTTPError 404 - leoni - dist/images
2016-06-14 14:54:44 - HTTPError 404 - leoni - dist/images
2016-06-14 14:54:51 - HTTPError 404 - leoni - dist/images
2016-06-14 14:54:51 - HTTPError 404 - leoni - dist/images
2016-06-14 14:55:10 - HTTPError 404 - leoni - dist/images
2016-06-14 14:55:10 - HTTPError 404 - leoni - dist/images
2016-06-14 14:56:30 - HTTPError 404 - leoni - dist/images
2016-06-14 14:56:30 - HTTPError 404 - leoni - dist/images
2016-06-14 15:31:01 - HTTPError 404 - leoni - dist/images
2016-06-14 14:15:25 - Errore U05 - leoni - Si sono verificati i seguenti errori: <pre>Array
(
    [0] => Array
        (
            [error_str] => Unknown column 'inizio' in 'field list'
            [query] => INSERT INTO blocchi(nome_db,richiedente,inizio,fine,motivo)
		VALUES( 'GESP4',
				'Saverio Leoni',
				'2016-06-14',
				'2016-06-16',
				''''
		)
        )

)
</pre>
2016-06-14 17:33:54 - HTTPError 404 -  - dist/images
2016-06-14 17:35:51 - HTTPError 404 - stramieri - dist/images
2016-06-15 08:09:35 - HTTPError 404 -  - dist/images
2016-06-15 08:38:31 - Errore R02 - leoni - Data non valida
2016-06-15 09:35:17 - Errore R01 - leoni - Utente non autenticato
2016-06-15 09:37:06 - Errore R01 - leoni - Utente non autenticato
2016-06-15 09:38:14 - Errore R01 - leoni - Utente non autenticato
2016-06-15 09:41:39 - Errore R01 - leoni - Utente non autenticato
2016-06-15 09:41:54 - Errore U05 - leoni - Si sono verificati i seguenti errori: <pre>Array
(
    [0] => Array
        (
            [error_str] => You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1
            [query] => DELETE FROM richieste WHERE stato='richiesto' AND id=
        )

)
</pre>
2016-06-15 09:59:53 - Errore U05 - leoni - Si sono verificati i seguenti errori: <pre>Array
(
    [0] => Array
        (
            [error_str] => Column count doesn't match value count at row 1
            [query] => INSERT INTO richieste(nome_db,richiedente,usernameRichiedentedataora)
		VALUES( 'GESP1',
				'Saverio Leoni',
				'leoni',
				'2016-06-15 08:00'
		)
        )

)
</pre>
2016-06-15 13:08:33 - HTTPError 404 -  - dist/images
2016-06-15 13:08:46 - HTTPError 404 - lgalavotti - dist/images
2016-06-16 08:23:17 - HTTPError 404 -  - dist/images
2016-06-16 07:06:17 - Errore R01 - leoni - Utente non autenticato
2016-06-16 07:07:54 - Errore U06 - leoni - Autorizzazione negata
2016-06-16 07:08:44 - Errore U06 - leoni - Autorizzazione negata
2016-06-16 07:28:08 - Errore U03 -  - Username o Password non validi
2016-06-16 13:55:36 - HTTPError 404 - leoni - dist/images
2016-06-16 14:05:31 - HTTPError 404 - leoni - logout/index
2016-06-16 14:12:09 - HTTPError 404 -  - dist/images
2016-06-17 08:43:13 - HTTPError 404 -  - dist/images
2016-06-27 09:54:25 - HTTPError 404 -  - dist/images
2016-06-27 09:47:35 - EMAIL  <strong>You must provide at least one recipient email address.</strong><br />
2016-06-27 09:48:08 - EMAIL  <strong>You must provide at least one recipient email address.</strong><br />
2016-06-27 09:50:40 - EMAIL  <strong>You must provide at least one recipient email address.</strong><br />
2016-06-27 13:51:39 - HTTPError 404 -  - dist/images
2016-06-27 11:53:33 - EMAIL Array
(
    [0] => 
)
 <strong>You must provide at least one recipient email address.</strong><br />
2016-06-27 12:03:32 - EMAIL Array
(
    [0] => 
)
 <strong>You must provide at least one recipient email address.</strong><br />
2016-06-27 12:34:31 - EMAIL  <strong>You must provide at least one recipient email address.</strong><br />
2016-06-27 14:35:47 - HTTPError 404 -  - dist/images
2016-06-27 14:35:59 - HTTPError 404 - gazzoni - dist/images
2016-06-27 13:10:20 - Errore U03 -  - Username o Password non validi
2016-06-27 16:14:06 - HTTPError 404 -  - dist/images
2016-06-27 16:14:15 - HTTPError 404 - cristina - dist/images
2016-06-28 08:10:56 - HTTPError 404 -  - dist/images
2016-06-28 09:20:20 - HTTPError 404 -  - dist/images
2016-06-28 09:20:37 - HTTPError 404 - linfozzi - dist/images
2016-06-28 09:20:49 - HTTPError 404 -  - dist/images
2016-06-28 09:21:12 - HTTPError 404 -  - utenti/sso
2016-06-28 09:21:14 - HTTPError 404 -  - dist/images
2016-06-28 09:21:18 - HTTPError 404 -  - dist/images
2016-06-28 07:21:26 - Errore U03 -  - Username o Password non validi
2016-06-28 09:21:34 - HTTPError 404 -  - dist/images
2016-06-28 09:24:37 - HTTPError 404 -  - dist/images
2016-06-28 09:25:56 - HTTPError 404 -  - dist/images
2016-06-28 09:26:13 - HTTPError 404 - sferrara - dist/images
2016-06-28 09:37:07 - HTTPError 404 - leoni - %253C%3F%3DSERV_URL%2520%3F%253Eallineamenti/index
2016-06-28 07:38:54 - Errore R02 - stramieri - Data inizio non valida
2016-06-28 07:39:04 - Errore R02 - stramieri - Data inizio non valida
2016-06-28 09:41:25 - HTTPError 404 -  - dist/images
2016-06-28 09:42:50 - HTTPError 404 -  - dist/images
2016-06-28 09:42:50 - HTTPError 404 -  - dist/images
2016-06-28 12:09:23 - HTTPError 404 -  - dist/images
2016-06-28 12:13:56 - HTTPError 404 -  - dist/images
2016-06-28 12:14:02 - HTTPError 404 - magri - dist/images
2016-06-28 15:34:47 - HTTPError 404 -  - dist/images
2016-06-28 15:35:54 - HTTPError 404 - formigoni - dist/images
2016-06-28 15:56:45 - HTTPError 404 -  - dist/images
2016-06-28 16:44:37 - HTTPError 404 -  - dist/images
2016-06-29 09:29:07 - HTTPError 404 -  - dist/images
2016-06-29 09:29:28 - HTTPError 404 - oliva - dist/images
2016-06-30 09:20:15 - HTTPError 404 -  - dist/images
2016-06-30 15:07:48 - HTTPError 404 -  - dist/images
2016-07-01 14:09:41 - HTTPError 404 -  - dist/images
2016-07-04 09:05:39 - HTTPError 404 -  - dist/images
2016-07-04 09:05:58 - HTTPError 404 - agolinelli - dist/images
2016-07-05 08:24:33 - HTTPError 404 -  - dist/images
2016-07-05 08:24:42 - HTTPError 404 - zavatti - dist/images
2016-07-05 06:26:11 - Errore R02 - zavatti - Data non valida
2016-07-05 08:36:13 - HTTPError 404 -  - dist/images
2016-07-05 08:36:13 - HTTPError 404 -  - dist/images
2016-07-05 09:24:02 - HTTPError 404 -  - dist/images
2016-07-05 09:35:03 - HTTPError 404 -  - dist/images
2016-07-05 09:35:11 - HTTPError 404 - leoni - dist/images
2016-07-05 07:35:34 - Errore R02 - leoni - Data non valida
2016-07-05 07:35:53 - Errore R02 - leoni - Data non valida
2016-07-05 07:36:33 - Errore R02 - leoni - Data non valida
2016-07-05 12:46:32 - Errore R02 - leoni - Data non valida
2016-07-05 16:27:10 - HTTPError 404 -  - dist/images
2016-07-05 16:27:27 - HTTPError 404 - formigoni - dist/images
2016-07-05 16:38:48 - HTTPError 404 -  - dist/images
2016-07-06 06:59:09 - Errore U03 -  - Username o Password non validi
2016-07-06 09:00:03 - HTTPError 404 -  - dist/images
2016-07-06 09:02:19 - HTTPError 404 -  - dist/images
2016-07-06 09:39:13 - HTTPError 404 -  - dist/images
2016-07-07 08:35:08 - HTTPError 404 -  - dist/images
2016-07-07 08:35:40 - HTTPError 404 -  - dist/images
2016-07-07 08:35:40 - HTTPError 404 -  - dist/images
2016-07-07 09:35:07 - HTTPError 404 -  - dist/images
2016-07-07 09:39:17 - HTTPError 404 -  - dist/images
2016-07-07 11:07:09 - HTTPError 404 -  - dist/images
2016-07-08 10:43:29 - HTTPError 404 -  - dist/images
2016-07-08 11:34:13 - HTTPError 404 -  - dist/images
2016-07-08 14:23:59 - HTTPError 404 -  - dist/images
2016-07-08 14:49:48 - HTTPError 404 -  - dist/images
2016-07-08 15:23:37 - HTTPError 404 -  - dist/images
2016-07-11 09:06:24 - HTTPError 404 -  - dist/images
2016-07-11 10:21:18 - HTTPError 404 -  - dist/images
2016-07-11 17:56:50 - HTTPError 404 -  - dist/images
2016-07-11 15:57:07 - Errore U03 -  - Username o Password non validi
2016-07-12 09:20:35 - Errore U03 -  - Username o Password non validi
2016-07-12 11:27:28 - HTTPError 404 -  - dist/images
2016-07-12 14:28:38 - HTTPError 404 -  - dist/images
2016-07-12 14:44:11 - HTTPError 404 -  - dist/images
2016-07-14 14:26:54 - HTTPError 404 -  - dist/images
2016-07-15 09:45:21 - HTTPError 404 -  - dist/images
2016-07-15 09:47:17 - HTTPError 404 -  - dist/images
2016-07-15 09:47:18 - HTTPError 404 -  - dist/images
2016-07-15 07:54:54 - EMAIL Array
(
    [0] => saverio.leoni@aimag.it
    [1] => Barbara.Tabarelli@aimag.it
    [2] => Roberta.Belardi@aimag.it
    [3] => Michela.Braga@aimag.it
    [4] => Elisabetta Costa.Bizzarri@aimag.it
    [5] => Annabella.Panebianco@formula.it
    [6] => lorella.baldazzi@formula.it
    [7] => Lorenzo.Galavotti@aimag.it
)
 <strong>Invalid address: Elisabetta Costa.Bizzarri@aimag.it</strong><br />
2016-07-18 08:07:22 - HTTPError 404 -  - dist/images
2016-07-18 08:40:28 - HTTPError 404 -  - dist/images
2016-07-18 08:40:38 - HTTPError 404 - gazzoni - dist/images
2016-07-18 09:08:01 - HTTPError 404 -  - dist/images
2016-07-18 09:47:16 - HTTPError 404 -  - dist/images
2016-07-18 09:47:34 - HTTPError 404 - barbara - dist/images
2016-07-18 13:57:49 - HTTPError 404 -  - dist/images
2016-07-18 13:58:05 - HTTPError 404 - paltrinieri - dist/images
2016-07-19 09:12:11 - HTTPError 404 -  - dist/images
2016-07-19 17:15:38 - HTTPError 404 -  - dist/images
2016-07-20 09:20:11 - HTTPError 404 -  - dist/images
2016-07-21 08:38:50 - HTTPError 404 -  - dist/images
2016-07-21 08:38:56 - HTTPError 404 - stramieri - dist/images
2016-07-21 11:10:23 - HTTPError 404 -  - dist/images
2016-07-26 16:08:28 - HTTPError 404 -  - dist/images
2016-07-26 16:08:43 - HTTPError 404 - biraghi - dist/images
2016-07-26 19:19:59 - HTTPError 404 -  - dist/images
2016-07-27 08:12:23 - HTTPError 404 -  - dist/images
2016-07-27 12:55:28 - HTTPError 404 -  - dist/images
2016-07-27 14:11:15 - HTTPError 404 -  - dist/images
2016-07-27 14:11:44 - HTTPError 404 - formigoni - dist/images
2016-07-29 08:08:00 - HTTPError 404 -  - dist/images
2016-07-29 08:08:00 - HTTPError 404 -  - dist/images
2016-07-29 08:47:49 - HTTPError 404 -  - dist/images
2016-08-01 10:10:12 - Errore U03 -  - Username o Password non validi
2016-08-01 12:26:12 - HTTPError 404 -  - dist/images
2016-08-01 13:54:47 - HTTPError 404 -  - dist/images
2016-08-01 13:55:25 - HTTPError 404 - linfozzi - dist/images
2016-08-01 16:26:06 - HTTPError 404 -  - dist/images
2016-08-01 16:26:29 - HTTPError 404 -  - dist/images
2016-08-01 16:27:10 - HTTPError 404 -  - dist/images
2016-08-01 16:27:23 - HTTPError 404 - morselli - dist/images
2016-08-02 06:31:16 - Errore R02 - linfozzi - Data non valida
2016-08-02 08:32:24 - HTTPError 404 -  - dist/images
2016-08-02 06:34:29 - Errore R02 - linfozzi - Data non valida
2016-08-02 08:36:58 - HTTPError 404 -  - dist/images
2016-08-02 08:37:02 - HTTPError 404 - leoni - dist/images
2016-08-03 08:39:18 - HTTPError 404 -  - dist/images
2016-08-03 08:40:24 - HTTPError 404 -  - dist/images
2016-08-03 09:49:59 - HTTPError 404 -  - dist/images
2016-08-04 08:52:12 - HTTPError 404 -  - dist/images
2016-08-05 08:28:34 - HTTPError 404 -  - dist/images
2016-08-05 09:39:54 - HTTPError 404 -  - dist/images
2016-08-09 09:34:39 - HTTPError 404 -  - dist/images
2016-08-09 09:42:44 - HTTPError 404 -  - dist/images
2016-08-09 09:42:52 - HTTPError 404 - gazzoni - dist/images
2016-08-09 11:58:48 - HTTPError 404 -  - dist/images
2016-08-10 09:40:21 - HTTPError 404 -  - dist/images
2016-08-10 07:40:36 - Errore U03 -  - Username o Password non validi
2016-08-10 09:57:37 - HTTPError 404 -  - dist/images
2016-08-10 09:57:53 - HTTPError 404 - zavatti - dist/images
2016-08-11 08:06:56 - HTTPError 404 -  - dist/images
